X-Axis	NPA w/ HMB-1 20x (CRR) (SG) (Sub BG)
-3.97831E+02	 2.11475E+00
-3.93106E+02	 3.44604E+00
-3.88385E+02	 2.23218E+00
-3.83668E+02	 7.86133E-01
-3.78954E+02	-5.42969E-01
-3.74244E+02	-9.69238E-01
-3.69537E+02	-1.24902E+00
-3.64833E+02	-3.64746E-01
-3.60133E+02	 8.56689E-01
-3.55437E+02	 1.35742E+00
-3.50744E+02	 1.14722E+00
-3.46054E+02	 1.32349E+00
-3.41368E+02	-6.74316E-01
-3.36685E+02	-1.60693E+00
-3.32006E+02	-2.88696E+00
-3.27330E+02	-2.43164E+00
-3.22658E+02	-1.83618E+00
-3.17989E+02	 1.20581E+00
-3.13323E+02	 2.41699E+00
-3.08661E+02	 3.80127E+00
-3.04002E+02	 3.69702E+00
-2.99347E+02	 4.33618E+00
-2.94695E+02	 2.73926E+00
-2.90047E+02	 8.42773E-01
-2.85402E+02	-1.16870E+00
-2.80760E+02	-8.28125E-01
-2.76122E+02	-2.01245E+00
-2.71487E+02	-1.30908E+00
-2.66855E+02	-4.30176E-01
-2.62227E+02	 2.79785E-01
-2.57603E+02	-2.33154E-01
-2.52981E+02	 4.78271E-01
-2.48363E+02	 8.58643E-01
-2.43749E+02	 9.51172E-01
-2.39138E+02	 5.66650E-01
-2.34530E+02	-3.91602E-01
-2.29925E+02	-9.74121E-02
-2.25324E+02	-6.80664E-01
-2.20726E+02	 3.54736E-01
-2.16132E+02	 1.32031E+00
-2.11541E+02	 2.84106E+00
-2.06953E+02	 2.46191E+00
-2.02369E+02	 1.35913E+00
-1.97788E+02	-9.46045E-01
-1.93210E+02	-1.32568E+00
-1.88636E+02	-2.28760E+00
-1.84065E+02	-1.89575E+00
-1.79497E+02	-1.95483E+00
-1.74932E+02	-1.47900E+00
-1.70371E+02	-3.23486E-01
-1.65814E+02	-3.58154E-01
-1.61259E+02	-1.40820E+00
-1.56708E+02	-2.88794E+00
-1.52160E+02	-4.51367E+00
-1.47615E+02	-2.38843E+00
-1.43074E+02	 3.54248E-01
-1.38536E+02	 3.78638E+00
-1.34001E+02	 4.11523E+00
-1.29470E+02	 1.91699E+00
-1.24942E+02	 7.14844E-01
-1.20417E+02	 8.46680E-01
-1.15896E+02	 1.62183E+00
-1.11377E+02	 1.57739E+00
-1.06862E+02	 3.05908E-01
-1.02350E+02	 2.83203E-01
-9.78419E+01	-1.40601E+00
-9.33366E+01	-4.39209E-01
-8.88346E+01	-9.73633E-01
-8.43359E+01	-8.03467E-01
-7.98404E+01	-1.15527E+00
-7.53481E+01	-1.83813E+00
-7.08591E+01	-8.43506E-01
-6.63733E+01	 1.41113E-01
-6.18908E+01	 1.33496E+00
-5.74114E+01	-8.27393E-01
-5.29353E+01	-5.21094E+00
-4.84625E+01	-5.22266E+00
-4.39928E+01	-3.63525E+00
-3.95264E+01	-2.68066E+00
-3.50632E+01	 2.47803E-01
-3.06031E+01	 1.02197E+00
-2.61463E+01	-2.23364E+00
-2.16927E+01	-6.63696E+00
-1.72423E+01	-7.86914E+00
-1.27951E+01	-1.18140E+01
-8.35111E+00	 1.55024E+01
-3.91029E+00	 4.26753E+01
 5.27351E-01	 6.10967E+01
 4.96181E+00	 6.84224E+01
 9.39308E+00	 6.15850E+01
 1.38212E+01	 3.62705E+01
 1.82461E+01	 5.48877E+00
 2.26679E+01	-2.78359E+01
 2.70865E+01	-3.89321E+01
 3.15019E+01	-6.57070E+01
 3.59141E+01	-9.94077E+01
 4.03233E+01	-4.80537E+01
 4.47292E+01	 5.12925E+01
 4.91320E+01	-5.20508E-01
 5.35317E+01	 1.09296E+02
 5.79282E+01	 1.07266E+03
 6.23216E+01	 2.14469E+03
 6.67118E+01	 3.15960E+03
 7.10989E+01	 4.02174E+03
 7.54829E+01	 4.64666E+03
 7.98637E+01	 5.03000E+03
