X-Axis	dried HMB-1 (CRR) (SG) (Sub BG)
-3.97831E+02	 3.98901E+00
-3.93106E+02	 3.16455E+00
-3.88385E+02	 1.37231E+00
-3.83668E+02	 7.26807E-01
-3.78954E+02	-8.83789E-01
-3.74244E+02	-5.76904E-01
-3.69537E+02	 7.56836E-03
-3.64833E+02	 1.71631E-01
-3.60133E+02	-3.11523E-01
-3.55437E+02	 1.19385E-01
-3.50744E+02	 4.84863E-01
-3.46054E+02	 1.03076E+00
-3.41368E+02	 2.49268E-01
-3.36685E+02	 3.11035E-01
-3.32006E+02	-1.39087E+00
-3.27330E+02	-2.92578E+00
-3.22658E+02	-1.88818E+00
-3.17989E+02	 1.44287E-01
-3.13323E+02	 7.27295E-01
-3.08661E+02	-4.97070E-01
-3.04002E+02	-1.07666E+00
-2.99347E+02	-1.23047E+00
-2.94695E+02	-2.71313E+00
-2.90047E+02	-1.36353E+00
-2.85402E+02	-3.75488E-01
-2.80760E+02	 1.24487E+00
-2.76122E+02	 3.60718E+00
-2.71487E+02	 3.95166E+00
-2.66855E+02	 4.12402E+00
-2.62227E+02	 9.98779E-01
-2.57603E+02	-1.79541E+00
-2.52981E+02	-1.95264E+00
-2.48363E+02	-2.38330E+00
-2.43749E+02	-5.64209E-01
-2.39138E+02	-1.86426E+00
-2.34530E+02	-1.56055E+00
-2.29925E+02	 1.62842E-01
-2.25324E+02	 1.26270E+00
-2.20726E+02	 1.75024E+00
-2.16132E+02	 1.33472E+00
-2.11541E+02	 7.67578E-01
-2.06953E+02	-8.53760E-01
-2.02369E+02	-9.75098E-01
-1.97788E+02	-1.10620E+00
-1.93210E+02	-7.78809E-02
-1.88636E+02	-1.74072E-01
-1.84065E+02	 8.69385E-01
-1.79497E+02	 2.35669E+00
-1.74932E+02	 2.83936E-01
-1.70371E+02	-1.16260E+00
-1.65814E+02	-1.11621E+00
-1.61259E+02	 8.08594E-01
-1.56708E+02	 3.59839E+00
-1.52160E+02	 3.19385E+00
-1.47615E+02	 2.10132E+00
-1.43074E+02	-7.85645E-01
-1.38536E+02	-1.59399E+00
-1.34001E+02	-9.72412E-01
-1.29470E+02	-1.25220E+00
-1.24942E+02	-6.00098E-01
-1.20417E+02	-1.98022E+00
-1.15896E+02	-3.06372E+00
-1.11377E+02	-2.11914E+00
-1.06862E+02	-3.41553E-01
-1.02350E+02	 5.80811E-01
-9.78419E+01	-3.30322E-01
-9.33366E+01	-3.89404E-01
-8.88346E+01	-4.94873E-01
-8.43359E+01	-1.51978E+00
-7.98404E+01	-1.19653E+00
-7.53481E+01	-8.80127E-01
-7.08591E+01	-1.08911E+00
-6.63733E+01	-4.86816E-01
-6.18908E+01	 1.43799E-01
-5.74114E+01	-1.60498E+00
-5.29353E+01	-4.83105E+00
-4.84625E+01	-5.14014E+00
-4.39928E+01	-4.75366E+00
-3.95264E+01	-1.21436E+00
-3.50632E+01	-3.34473E-01
-3.06031E+01	-5.94287E+00
-2.61463E+01	-9.61719E+00
-2.16927E+01	-1.59819E+01
-1.72423E+01	-9.69092E+00
-1.27951E+01	 9.43799E+00
-8.35111E+00	 4.57744E+01
-3.91029E+00	 8.27393E+01
 5.27351E-01	 1.06508E+02
 4.96181E+00	 1.05331E+02
 9.39308E+00	 8.37988E+01
 1.38212E+01	 4.23325E+01
 1.82461E+01	-8.56641E+00
 2.26679E+01	-6.54160E+01
 2.70865E+01	-7.35791E+01
 3.15019E+01	-1.45219E+02
 3.59141E+01	-2.51069E+02
 4.03233E+01	-9.38867E+01
 4.47292E+01	 1.55318E+02
 4.91320E+01	 1.76006E+01
 5.35317E+01	 1.12262E+03
 5.79282E+01	 3.17353E+03
 6.23216E+01	 5.44111E+03
 6.67118E+01	 7.62192E+03
 7.10989E+01	 9.42798E+03
 7.54829E+01	 1.06721E+04
 7.98637E+01	 1.13019E+04
 8.42415E+01	 1.15893E+04
 8.86161E+01	 1.17045E+04
 9.29876E+01	 1.14731E+04
 9.73559E+01	 1.09509E+04
 1.01721E+02	 1.02614E+04
 1.06083E+02	 9.44975E+03
 1.10442E+02	 8.72055E+03
 1.14798E+02	 8.12150E+03
 1.19151E+02	 7.71528E+03
 1.23501E+02	 7.32071E+03
 1.27848E+02	 6.80359E+03
 1.32191E+02	 6.36363E+03
 1.36532E+02	 5.95755E+03
 1.40869E+02	 5.64159E+03
 1.45203E+02	 5.30672E+03
 1.49535E+02	 4.86926E+03
 1.53863E+02	 4.39955E+03
 1.58188E+02	 3.90333E+03
 1.62510E+02	 3.47022E+03
 1.66829E+02	 3.19585E+03
 1.71145E+02	 3.03780E+03
 1.75458E+02	 2.95184E+03
 1.79768E+02	 2.81089E+03
 1.84074E+02	 2.67190E+03
 1.88378E+02	 2.48455E+03
 1.92679E+02	 2.21645E+03
 1.96976E+02	 2.01383E+03
 2.01271E+02	 1.83577E+03
 2.05562E+02	 1.63701E+03
 2.09851E+02	 1.44809E+03
 2.14136E+02	 1.34622E+03
 2.18419E+02	 1.35726E+03
 2.22698E+02	 1.42517E+03
 2.26975E+02	 1.53074E+03
 2.31248E+02	 1.59635E+03
 2.35519E+02	 1.49690E+03
 2.39786E+02	 1.34455E+03
 2.44050E+02	 1.27150E+03
 2.48312E+02	 1.31254E+03
 2.52570E+02	 1.38673E+03
 2.56825E+02	 1.43319E+03
 2.61078E+02	 1.42084E+03
 2.65327E+02	 1.34286E+03
 2.69574E+02	 1.29134E+03
 2.73817E+02	 1.32738E+03
 2.78057E+02	 1.41688E+03
 2.82295E+02	 1.45116E+03
 2.86529E+02	 1.40342E+03
 2.90761E+02	 1.30431E+03
 2.94989E+02	 1.18315E+03
 2.99215E+02	 1.07966E+03
 3.03438E+02	 1.03158E+03
 3.07657E+02	 1.01700E+03
 3.11874E+02	 1.01423E+03
 3.16088E+02	 9.77072E+02
 3.20298E+02	 8.92514E+02
 3.24506E+02	 7.57558E+02
 3.28711E+02	 6.33729E+02
 3.32913E+02	 5.50915E+02
 3.37112E+02	 5.32044E+02
 3.41308E+02	 5.03083E+02
 3.45501E+02	 4.32983E+02
 3.49691E+02	 3.48595E+02
 3.53879E+02	 2.78596E+02
 3.58063E+02	 2.29278E+02
 3.62244E+02	 1.88999E+02
 3.66423E+02	 1.44442E+02
 3.70598E+02	 1.07035E+02
 3.74771E+02	 7.24287E+01
 3.78941E+02	 7.33071E+01
 3.83108E+02	 9.63330E+01
 3.87272E+02	 9.03882E+01
 3.91433E+02	 8.68438E+01
 3.95591E+02	 8.65728E+01
 3.99746E+02	 8.56025E+01
 4.03898E+02	 7.58276E+01
 4.08048E+02	 7.58921E+01
 4.12194E+02	 8.21343E+01
 4.16338E+02	 8.16670E+01
 4.20479E+02	 6.92813E+01
 4.24617E+02	 7.79775E+01
 4.28752E+02	 5.99521E+01
 4.32884E+02	 2.72617E+01
 4.37013E+02	 2.91357E+00
 4.41140E+02	-3.75493E+01
 4.45263E+02	-4.51021E+01
 4.49384E+02	-3.15029E+01
 4.53502E+02	-1.73887E+01
 4.57617E+02	 1.51118E+01
 4.61729E+02	 2.32681E+01
 4.65838E+02	 3.18955E+01
 4.69945E+02	 2.34438E+01
 4.74048E+02	 3.41431E+01
 4.78149E+02	 5.15703E+01
 4.82247E+02	 6.62549E+00
 4.86342E+02	-4.01182E+01
 4.90434E+02	-4.17173E+01
 4.94524E+02	-1.94434E+01
 4.98610E+02	 1.84961E+01
 5.02694E+02	 4.51655E+01
 5.06775E+02	 4.17100E+01
 5.10853E+02	-3.12227E+01
 5.14929E+02	-7.05210E+01
 5.19001E+02	-3.19380E+01
 5.23071E+02	 2.43101E+01
 5.27138E+02	 5.43623E+01
 5.31202E+02	 4.53013E+01
 5.35263E+02	 8.11035E-01
 5.39322E+02	-5.48091E+01
 5.43377E+02	-6.36455E+01
 5.47430E+02	-1.29131E+01
 5.51480E+02	 3.13325E+01
 5.55528E+02	 3.67266E+01
 5.59572E+02	 1.93394E+01
 5.63614E+02	-5.94189E+00
 5.67653E+02	-1.67480E+01
 5.71689E+02	 1.06860E+01
 5.75723E+02	 3.46724E+01
 5.79753E+02	 2.39351E+01
 5.83781E+02	-8.68311E+00
 5.87806E+02	-4.18428E+01
 5.91829E+02	-4.69644E+01
 5.95848E+02	-2.75645E+01
 5.99865E+02	-4.70703E-01
 6.03879E+02	-5.59912E+00
 6.07891E+02	-2.97397E+01
 6.11899E+02	-4.46846E+01
 6.15905E+02	-4.39941E+01
 6.19908E+02	-9.12988E+00
 6.23908E+02	 3.08892E+01
 6.27906E+02	 7.00752E+01
 6.31901E+02	 1.31543E+02
 6.35893E+02	 1.78993E+02
 6.39882E+02	 1.85104E+02
 6.43869E+02	 1.86230E+02
 6.47853E+02	 1.95858E+02
 6.51834E+02	 1.77348E+02
 6.55813E+02	 1.44842E+02
 6.59789E+02	 1.06566E+02
 6.63762E+02	 7.67515E+01
 6.67732E+02	 5.47437E+01
 6.71700E+02	 7.84365E+01
 6.75665E+02	 1.37344E+02
 6.79627E+02	 1.68638E+02
 6.83587E+02	 1.64226E+02
 6.87544E+02	 1.37589E+02
 6.91498E+02	 1.13095E+02
 6.95449E+02	 1.14743E+02
 6.99398E+02	 1.06706E+02
 7.03344E+02	 1.18016E+02
 7.07288E+02	 1.12803E+02
 7.11228E+02	 8.72290E+01
 7.15166E+02	 6.24414E+01
 7.19102E+02	 5.27129E+01
 7.23034E+02	 4.33643E+01
 7.26965E+02	 1.06934E-01
 7.30892E+02	-4.77588E+01
 7.34817E+02	-8.22222E+01
 7.38739E+02	-9.93740E+01
 7.42658E+02	-5.98491E+01
 7.46575E+02	 7.23486E+00
 7.50489E+02	 6.88564E+01
 7.54400E+02	 8.12876E+01
 7.58309E+02	 4.18623E+01
 7.62215E+02	-1.13921E+01
 7.66119E+02	-5.77485E+01
 7.70019E+02	-8.43711E+01
 7.73918E+02	-4.80806E+01
 7.77813E+02	 1.76973E+01
 7.81706E+02	 7.95415E+01
 7.85596E+02	 9.28340E+01
 7.89484E+02	 7.23657E+01
 7.93369E+02	 3.90249E+01
 7.97251E+02	 1.71143E+01
 8.01131E+02	 6.11724E+01
 8.05008E+02	 1.34329E+02
 8.08883E+02	 1.91488E+02
 8.12755E+02	 2.20395E+02
 8.16624E+02	 1.72173E+02
 8.20491E+02	 1.04927E+02
 8.24355E+02	 9.71250E+01
 8.28217E+02	 1.11396E+02
 8.32075E+02	 1.45538E+02
 8.35932E+02	 1.88914E+02
 8.39785E+02	 2.64465E+02
 8.43637E+02	 2.94318E+02
 8.47485E+02	 2.86624E+02
 8.51331E+02	 2.47041E+02
 8.55174E+02	 1.80463E+02
 8.59015E+02	 1.04851E+02
 8.62853E+02	 7.43330E+01
 8.66689E+02	 9.37739E+01
 8.70522E+02	 1.00814E+02
 8.74352E+02	 4.13013E+01
