X-Axis	bare NPA 10x (CRR) (SG) (Sub BG)
-3.97831E+02	 1.01538E+00
-3.93106E+02	 2.30396E+00
-3.88385E+02	 3.90015E+00
-3.83668E+02	 3.99097E+00
-3.78954E+02	 5.29053E-01
-3.74244E+02	-8.93311E-01
-3.69537E+02	-4.86328E-01
-3.64833E+02	 2.45605E-01
-3.60133E+02	 1.75488E+00
-3.55437E+02	 1.56128E+00
-3.50744E+02	-8.09570E-01
-3.46054E+02	-1.59009E+00
-3.41368E+02	-1.88525E+00
-3.36685E+02	-3.83301E-02
-3.32006E+02	 1.44507E+00
-3.27330E+02	 3.19531E+00
-3.22658E+02	 1.31787E+00
-3.17989E+02	-7.65625E-01
-3.13323E+02	-2.85376E+00
-3.08661E+02	-3.44727E+00
-3.04002E+02	-3.07178E+00
-2.99347E+02	 1.68945E-01
-2.94695E+02	 1.32935E+00
-2.90047E+02	 2.59106E+00
-2.85402E+02	 2.71655E+00
-2.80760E+02	 2.21240E+00
-2.76122E+02	 3.90625E-03
-2.71487E+02	 1.66016E-01
-2.66855E+02	-1.29077E+00
-2.62227E+02	-1.87329E+00
-2.57603E+02	-3.05396E+00
-2.52981E+02	-1.63306E+00
-2.48363E+02	-1.58374E+00
-2.43749E+02	 3.69385E-01
-2.39138E+02	 1.24927E+00
-2.34530E+02	 1.71753E+00
-2.29925E+02	 1.76733E+00
-2.25324E+02	 1.84888E+00
-2.20726E+02	 1.46313E+00
-2.16132E+02	 9.42383E-01
-2.11541E+02	 2.00195E-01
-2.06953E+02	-4.89014E-01
-2.02369E+02	-1.81030E+00
-1.97788E+02	-1.09448E+00
-1.93210E+02	-2.18872E+00
-1.88636E+02	-2.48853E+00
-1.84065E+02	-1.58667E+00
-1.79497E+02	-7.35107E-01
-1.74932E+02	 1.21021E+00
-1.70371E+02	 2.58496E+00
-1.65814E+02	 1.52783E+00
-1.61259E+02	-2.89795E-01
-1.56708E+02	-2.27637E+00
-1.52160E+02	-3.09106E+00
-1.47615E+02	-1.32104E+00
-1.43074E+02	 1.18701E+00
-1.38536E+02	 3.94360E+00
-1.34001E+02	 2.91187E+00
-1.29470E+02	 1.28687E+00
-1.24942E+02	 3.01270E-01
-1.20417E+02	 5.73730E-02
-1.15896E+02	-6.62598E-01
-1.11377E+02	 1.63330E+00
-1.06862E+02	 1.96045E-01
-1.02350E+02	-5.91309E-01
-9.78419E+01	-2.21680E+00
-9.33366E+01	-2.53467E+00
-8.88346E+01	-2.49097E+00
-8.43359E+01	-1.00464E+00
-7.98404E+01	-3.12500E-02
-7.53481E+01	 1.62256E+00
-7.08591E+01	 5.75684E-01
-6.63733E+01	 3.89893E-01
-6.18908E+01	-4.88281E-02
-5.74114E+01	-2.12573E+00
-5.29353E+01	-7.18970E+00
-4.84625E+01	-1.00422E+01
-4.39928E+01	-6.68945E+00
-3.95264E+01	-5.16211E+00
-3.50632E+01	 2.70020E+00
-3.06031E+01	 2.69678E+00
-2.61463E+01	-1.49023E+00
-2.16927E+01	-1.17310E+01
-1.72423E+01	-1.75508E+01
-1.27951E+01	-7.62939E+00
-8.35111E+00	 6.30986E+01
-3.91029E+00	 1.44088E+02
 5.27351E-01	 1.99266E+02
 4.96181E+00	 2.13867E+02
 9.39308E+00	 1.91120E+02
 1.38212E+01	 1.21542E+02
 1.82461E+01	 3.90508E+01
 2.26679E+01	-1.78652E+01
 2.70865E+01	-3.77544E+01
 3.15019E+01	-8.82227E+01
 3.59141E+01	-1.52386E+02
 4.03233E+01	-7.65620E+01
 4.47292E+01	 7.96401E+01
 4.91320E+01	 1.45781E+01
 5.35317E+01	 7.15655E+02
 5.79282E+01	 1.86037E+03
 6.23216E+01	 3.06142E+03
 6.67118E+01	 4.20133E+03
 7.10989E+01	 5.13595E+03
 7.54829E+01	 5.77518E+03
 7.98637E+01	 6.13807E+03
