X-Axis	NPA w/ oil 10x (CRR) (SG) (Sub BG)
-3.97831E+02	 5.13965E+00
-3.93106E+02	 3.08203E+00
-3.88385E+02	 3.37158E-01
-3.83668E+02	-5.15381E-01
-3.78954E+02	-5.00732E-01
-3.74244E+02	 1.00171E+00
-3.69537E+02	 1.02832E+00
-3.64833E+02	-9.37500E-02
-3.60133E+02	-1.80005E+00
-3.55437E+02	-3.02612E+00
-3.50744E+02	-3.49658E+00
-3.46054E+02	-2.88623E+00
-3.41368E+02	-1.68604E+00
-3.36685E+02	 1.04980E+00
-3.32006E+02	 9.91699E-01
-3.27330E+02	 1.23975E+00
-3.22658E+02	 5.82275E-01
-3.17989E+02	 1.69531E+00
-3.13323E+02	 6.13525E-01
-3.08661E+02	-8.05664E-01
-3.04002E+02	 5.92529E-01
-2.99347E+02	 1.08032E+00
-2.94695E+02	 6.09863E-01
-2.90047E+02	 8.68652E-01
-2.85402E+02	 2.39990E-01
-2.80760E+02	 3.95264E-01
-2.76122E+02	-1.27979E+00
-2.71487E+02	 1.18018E+00
-2.66855E+02	 6.41357E-01
-2.62227E+02	-1.65942E+00
-2.57603E+02	-2.78125E+00
-2.52981E+02	-2.61157E+00
-2.48363E+02	-6.06689E-01
-2.43749E+02	 1.05688E+00
-2.39138E+02	 1.59644E+00
-2.34530E+02	 3.16895E-01
-2.29925E+02	-2.47998E+00
-2.25324E+02	-1.98193E+00
-2.20726E+02	-7.45361E-01
-2.16132E+02	 2.14917E+00
-2.11541E+02	 4.11011E+00
-2.06953E+02	 3.25830E+00
-2.02369E+02	 1.41797E+00
-1.97788E+02	-2.08252E-01
-1.93210E+02	 4.33350E-01
-1.88636E+02	 6.83105E-01
-1.84065E+02	-6.39648E-02
-1.79497E+02	 2.37549E-01
-1.74932E+02	-1.62622E+00
-1.70371E+02	-2.70630E+00
-1.65814E+02	-3.40479E+00
-1.61259E+02	-2.34692E+00
-1.56708E+02	-7.94678E-01
-1.52160E+02	 6.37939E-01
-1.47615E+02	 1.04712E+00
-1.43074E+02	 7.59277E-01
-1.38536E+02	 8.34961E-02
-1.34001E+02	 1.82300E+00
-1.29470E+02	 2.78101E+00
-1.24942E+02	 3.19214E+00
-1.20417E+02	 1.11548E+00
-1.15896E+02	-2.37427E+00
-1.11377E+02	-5.41431E+00
-1.06862E+02	-5.10107E+00
-1.02350E+02	-3.84155E+00
-9.78419E+01	-1.66675E+00
-9.33366E+01	-8.90625E-01
-8.88346E+01	-6.87256E-01
-8.43359E+01	 2.76855E-01
-7.98404E+01	 6.87012E-01
-7.53481E+01	 1.13647E+00
-7.08591E+01	 1.53076E+00
-6.63733E+01	 1.01221E+00
-6.18908E+01	 1.86182E+00
-5.74114E+01	 3.05420E-01
-5.29353E+01	-4.21289E+00
-4.84625E+01	-6.85254E+00
-4.39928E+01	-5.59302E+00
-3.95264E+01	-1.90259E+00
-3.50632E+01	 2.08154E+00
-3.06031E+01	 4.94727E+00
-2.61463E+01	-1.51704E+01
-2.16927E+01	-2.46084E+01
-1.72423E+01	-1.84512E+01
-1.27951E+01	 1.15269E+01
-8.35111E+00	 5.05327E+01
-3.91029E+00	 9.52944E+01
 5.27351E-01	 1.16061E+02
 4.96181E+00	 9.68643E+01
 9.39308E+00	 6.52041E+01
 1.38212E+01	 4.04873E+01
 1.82461E+01	-1.12793E+00
 2.26679E+01	-4.77510E+01
 2.70865E+01	-5.25127E+01
 3.15019E+01	-1.02568E+02
 3.59141E+01	-8.05444E+01
 4.03233E+01	 3.77290E+01
 4.47292E+01	 8.52197E+00
 4.91320E+01	-9.12568E+01
 5.35317E+01	 7.73567E+02
 5.79282E+01	 2.18125E+03
 6.23216E+01	 3.74163E+03
 6.67118E+01	 5.24619E+03
 7.10989E+01	 6.56263E+03
 7.54829E+01	 7.47930E+03
 7.98637E+01	 7.97948E+03
 8.42415E+01	 8.17136E+03
 8.86161E+01	 8.17901E+03
 9.29876E+01	 7.95710E+03
 9.73559E+01	 7.56249E+03
 1.01721E+02	 7.12823E+03
 1.06083E+02	 6.66576E+03
 1.10442E+02	 6.22879E+03
 1.14798E+02	 5.89289E+03
 1.19151E+02	 5.62356E+03
 1.23501E+02	 5.32589E+03
 1.27848E+02	 4.96910E+03
 1.32191E+02	 4.64730E+03
 1.36532E+02	 4.42021E+03
 1.40869E+02	 4.24811E+03
 1.45203E+02	 4.05788E+03
 1.49535E+02	 3.84303E+03
 1.53863E+02	 3.54690E+03
 1.58188E+02	 3.19396E+03
 1.62510E+02	 2.92876E+03
 1.66829E+02	 2.73199E+03
 1.71145E+02	 2.58361E+03
 1.75458E+02	 2.41777E+03
 1.79768E+02	 2.24229E+03
