X-Axis	NPA w/ HMB-1 (CRR) (SG) (Sub BG)
-3.97831E+02	 4.00195E+00
-3.93106E+02	 2.91699E+00
-3.88385E+02	 8.07861E-01
-3.83668E+02	-7.53174E-01
-3.78954E+02	-3.94531E-01
-3.74244E+02	-6.16455E-01
-3.69537E+02	-6.67969E-01
-3.64833E+02	-9.49707E-02
-3.60133E+02	-8.95264E-01
-3.55437E+02	-8.91357E-01
-3.50744E+02	-7.16797E-01
-3.46054E+02	 5.55420E-01
-3.41368E+02	 7.44873E-01
-3.36685E+02	 1.06177E+00
-3.32006E+02	 6.81152E-01
-3.27330E+02	-3.61572E-01
-3.22658E+02	-1.21582E+00
-3.17989E+02	 4.76074E-02
-3.13323E+02	-5.17578E-01
-3.08661E+02	 1.30249E+00
-3.04002E+02	 4.23584E-01
-2.99347E+02	-2.89307E-01
-2.94695E+02	-1.14673E+00
-2.90047E+02	-1.71191E+00
-2.85402E+02	-2.73340E+00
-2.80760E+02	-7.87842E-01
-2.76122E+02	 1.23364E+00
-2.71487E+02	 2.56128E+00
-2.66855E+02	 7.42676E-01
-2.62227E+02	 9.48730E-01
-2.57603E+02	-5.14893E-01
-2.52981E+02	-8.82324E-01
-2.48363E+02	-2.73438E-01
-2.43749E+02	 1.24121E+00
-2.39138E+02	 6.56738E-01
-2.34530E+02	 1.76270E-01
-2.29925E+02	-4.68262E-01
-2.25324E+02	-1.53857E+00
-2.20726E+02	-1.33838E+00
-2.16132E+02	-4.18945E-01
-2.11541E+02	 2.23145E-01
-2.06953E+02	 1.44678E+00
-2.02369E+02	 8.58887E-01
-1.97788E+02	 2.66113E-01
-1.93210E+02	 4.97803E-01
-1.88636E+02	 7.53662E-01
-1.84065E+02	 9.01123E-01
-1.79497E+02	 2.60254E-01
-1.74932E+02	 3.09814E-01
-1.70371E+02	-1.54321E+00
-1.65814E+02	-3.61450E+00
-1.61259E+02	-3.88770E+00
-1.56708E+02	-1.92798E+00
-1.52160E+02	-4.75342E-01
-1.47615E+02	 7.60742E-01
-1.43074E+02	 1.88110E+00
-1.38536E+02	 1.09961E+00
-1.34001E+02	-7.82227E-01
-1.29470E+02	-1.25879E+00
-1.24942E+02	 2.26318E-01
-1.20417E+02	 1.66309E+00
-1.15896E+02	 1.59351E+00
-1.11377E+02	 3.06201E+00
-1.06862E+02	 2.35620E+00
-1.02350E+02	-2.55371E-01
-9.78419E+01	-1.86914E+00
-9.33366E+01	-1.29663E+00
-8.88346E+01	-1.06226E+00
-8.43359E+01	 4.75586E-01
-7.98404E+01	 7.82959E-01
-7.53481E+01	-6.22559E-01
-7.08591E+01	-2.20972E+00
-6.63733E+01	-1.09814E+00
-6.18908E+01	-1.10718E+00
-5.74114E+01	-1.22510E+00
-5.29353E+01	-1.76611E+00
-4.84625E+01	-3.27393E+00
-4.39928E+01	-3.87036E+00
-3.95264E+01	-1.95435E+00
-3.50632E+01	-8.01758E-01
-3.06031E+01	-3.24780E+00
-2.61463E+01	-3.42627E+00
-2.16927E+01	-2.29028E+00
-1.72423E+01	-4.26465E+00
-1.27951E+01	 3.40088E+00
-8.35111E+00	 2.16138E+01
-3.91029E+00	 3.86865E+01
 5.27351E-01	 4.87271E+01
 4.96181E+00	 4.28027E+01
 9.39308E+00	 3.07729E+01
 1.38212E+01	 1.05010E+01
 1.82461E+01	-1.21841E+01
 2.26679E+01	-3.03149E+01
 2.70865E+01	-3.22979E+01
 3.15019E+01	-4.85708E+01
 3.59141E+01	-8.86445E+01
 4.03233E+01	-4.30430E+01
 4.47292E+01	 5.85244E+01
 4.91320E+01	 1.40996E+01
