X-Axis	NPA w/ HMB-1 pos2 (CRR) (SG) (Sub BG)
-3.97831E+02	 1.06958E+00
-3.93106E+02	 3.14697E-01
-3.88385E+02	 1.64282E+00
-3.83668E+02	 1.32373E+00
-3.78954E+02	 4.18457E-01
-3.74244E+02	 2.77588E-01
-3.69537E+02	 1.03467E+00
-3.64833E+02	 1.70264E+00
-3.60133E+02	 6.70898E-01
-3.55437E+02	-1.74268E+00
-3.50744E+02	-1.35327E+00
-3.46054E+02	-1.98438E+00
-3.41368E+02	-1.14111E+00
-3.36685E+02	 9.91211E-01
-3.32006E+02	 9.57275E-01
-3.27330E+02	 1.17188E+00
-3.22658E+02	 1.08398E+00
-3.17989E+02	 7.77832E-01
-3.13323E+02	 3.63525E-01
-3.08661E+02	-1.31592E-01
-3.04002E+02	-4.54590E-01
-2.99347E+02	-2.07544E+00
-2.94695E+02	-2.69556E+00
-2.90047E+02	-3.16162E-01
-2.85402E+02	 5.63721E-01
-2.80760E+02	 4.77539E-01
-2.76122E+02	-6.00830E-01
-2.71487E+02	-4.67041E-01
-2.66855E+02	-5.32227E-02
-2.62227E+02	-3.70117E-01
-2.57603E+02	 1.07129E+00
-2.52981E+02	 2.65137E-01
-2.48363E+02	-1.10962E+00
-2.43749E+02	-1.92456E+00
-2.39138E+02	-1.10400E+00
-2.34530E+02	-2.02393E-01
-2.29925E+02	-6.00586E-01
-2.25324E+02	-2.76855E-01
-2.20726E+02	 2.76172E+00
-2.16132E+02	 2.50977E+00
-2.11541E+02	 1.74414E+00
-2.06953E+02	 2.86621E-01
-2.02369E+02	-3.65723E-01
-1.97788E+02	-2.16187E+00
-1.93210E+02	-2.19019E+00
-1.88636E+02	 6.63330E-01
-1.84065E+02	 1.97437E+00
-1.79497E+02	 1.22144E+00
-1.74932E+02	 8.98438E-01
-1.70371E+02	-7.65869E-01
-1.65814E+02	-2.08423E+00
-1.61259E+02	-1.19507E+00
-1.56708E+02	 2.44873E-01
-1.52160E+02	 1.91553E+00
-1.47615E+02	 2.03442E+00
-1.43074E+02	 7.76611E-01
-1.38536E+02	 1.97266E-01
-1.34001E+02	-7.51465E-01
-1.29470E+02	-8.73779E-01
-1.24942E+02	-1.31006E+00
-1.20417E+02	-9.23828E-01
-1.15896E+02	-1.68701E-01
-1.11377E+02	-1.45020E+00
-1.06862E+02	-5.77881E-01
-1.02350E+02	 7.64648E-01
-9.78419E+01	 5.79834E-01
-9.33366E+01	 6.12061E-01
-8.88346E+01	 7.59277E-01
-8.43359E+01	-1.29883E-01
-7.98404E+01	-1.02686E+00
-7.53481E+01	-1.39014E+00
-7.08591E+01	 1.48926E-02
-6.63733E+01	-1.09937E+00
-6.18908E+01	-7.12646E-01
-5.74114E+01	-1.50317E+00
-5.29353E+01	-2.42749E+00
-4.84625E+01	-4.59106E+00
-4.39928E+01	-5.42651E+00
-3.95264E+01	-2.39233E+00
-3.50632E+01	 9.92188E-01
-3.06031E+01	-1.32666E+00
-2.61463E+01	-4.47070E+00
-2.16927E+01	-7.76831E+00
-1.72423E+01	-1.20088E+01
-1.27951E+01	 7.84082E+00
-8.35111E+00	 3.67822E+01
-3.91029E+00	 7.03350E+01
 5.27351E-01	 9.74648E+01
 4.96181E+00	 1.06645E+02
 9.39308E+00	 8.89614E+01
 1.38212E+01	 4.95820E+01
 1.82461E+01	 4.91748E+00
 2.26679E+01	-3.44839E+01
 2.70865E+01	-4.73032E+01
 3.15019E+01	-5.92495E+01
 3.59141E+01	-9.77446E+01
 4.03233E+01	-5.26001E+01
 4.47292E+01	 6.03477E+01
 4.91320E+01	 1.67988E+01
 5.35317E+01	 2.83365E+02
 5.79282E+01	 1.06639E+03
 6.23216E+01	 1.88649E+03
 6.67118E+01	 2.65806E+03
 7.10989E+01	 3.35559E+03
 7.54829E+01	 3.91884E+03
 7.98637E+01	 4.33640E+03
 8.42415E+01	 4.55674E+03
 8.86161E+01	 4.55955E+03
 9.29876E+01	 4.36731E+03
 9.73559E+01	 4.10853E+03
 1.01721E+02	 3.87593E+03
 1.06083E+02	 3.65863E+03
 1.10442E+02	 3.45305E+03
 1.14798E+02	 3.24412E+03
 1.19151E+02	 3.05730E+03
 1.23501E+02	 2.90901E+03
 1.27848E+02	 2.76153E+03
 1.32191E+02	 2.60949E+03
 1.36532E+02	 2.45133E+03
 1.40869E+02	 2.27074E+03
 1.45203E+02	 2.07172E+03
 1.49535E+02	 1.87165E+03
 1.53863E+02	 1.70137E+03
 1.58188E+02	 1.51132E+03
 1.62510E+02	 1.35328E+03
 1.66829E+02	 1.28182E+03
 1.71145E+02	 1.22426E+03
 1.75458E+02	 1.13440E+03
 1.79768E+02	 1.00693E+03
 1.84074E+02	 8.89055E+02
 1.88378E+02	 8.09716E+02
 1.92679E+02	 7.71462E+02
 1.96976E+02	 7.85188E+02
 2.01271E+02	 7.94263E+02
 2.05562E+02	 7.53013E+02
 2.09851E+02	 6.91093E+02
 2.14136E+02	 6.49696E+02
 2.18419E+02	 6.50937E+02
 2.22698E+02	 6.99834E+02
 2.26975E+02	 7.60934E+02
 2.31248E+02	 8.46945E+02
 2.35519E+02	 9.04564E+02
 2.39786E+02	 9.35007E+02
 2.44050E+02	 9.65213E+02
 2.48312E+02	 1.00399E+03
 2.52570E+02	 1.04376E+03
 2.56825E+02	 1.05576E+03
 2.61078E+02	 1.02723E+03
 2.65327E+02	 9.96697E+02
 2.69574E+02	 9.20976E+02
 2.73817E+02	 8.71997E+02
 2.78057E+02	 8.53424E+02
 2.82295E+02	 8.16384E+02
 2.86529E+02	 7.45126E+02
 2.90761E+02	 6.51365E+02
 2.94989E+02	 5.49193E+02
 2.99215E+02	 4.46608E+02
 3.03438E+02	 3.68049E+02
 3.07657E+02	 3.35528E+02
 3.11874E+02	 3.11040E+02
 3.16088E+02	 2.95540E+02
 3.20298E+02	 2.77451E+02
 3.24506E+02	 2.32794E+02
 3.28711E+02	 1.64730E+02
 3.32913E+02	 1.16529E+02
 3.37112E+02	 1.01555E+02
 3.41308E+02	 1.03363E+02
 3.45501E+02	 1.13743E+02
 3.49691E+02	 1.09604E+02
 3.53879E+02	 8.65151E+01
 3.58063E+02	 5.30229E+01
 3.62244E+02	 3.13989E+01
 3.66423E+02	 3.75757E+01
 3.70598E+02	 4.47813E+01
 3.74771E+02	 6.38589E+01
 3.78941E+02	 8.32046E+01
 3.83108E+02	 8.35356E+01
 3.87272E+02	 6.18271E+01
 3.91433E+02	 4.27148E+01
 3.95591E+02	 3.90405E+01
 3.99746E+02	 4.86436E+01
 4.03898E+02	 5.36118E+01
 4.08048E+02	 4.95425E+01
 4.12194E+02	 3.12417E+01
 4.16338E+02	 6.26758E+00
 4.20479E+02	-5.69824E-01
 4.24617E+02	 2.77847E+01
 4.28752E+02	 5.46460E+01
 4.32884E+02	 6.06411E+01
 4.37013E+02	 3.38115E+01
 4.41140E+02	 2.51465E-01
 4.45263E+02	-3.04966E+01
 4.49384E+02	-4.95933E+01
 4.53502E+02	-4.46597E+01
 4.57617E+02	-2.17051E+01
 4.61729E+02	 1.73828E+00
 4.65838E+02	 2.60005E+01
 4.69945E+02	 3.38135E+01
 4.74048E+02	 2.80176E+01
 4.78149E+02	 1.67202E+01
 4.82247E+02	 3.73877E+00
 4.86342E+02	-2.70313E+00
 4.90434E+02	-4.11084E+00
 4.94524E+02	-1.61660E+01
 4.98610E+02	-2.12134E+01
 5.02694E+02	-1.44771E+01
 5.06775E+02	 4.02344E-01
 5.10853E+02	 6.13867E+00
 5.14929E+02	 4.28711E+00
 5.19001E+02	-1.73438E+00
 5.23071E+02	-1.18818E+01
 5.27138E+02	-2.06323E+01
 5.31202E+02	-1.71079E+01
 5.35263E+02	-2.09741E+01
 5.39322E+02	-1.40229E+01
 5.43377E+02	 1.30884E+01
 5.47430E+02	 3.58599E+01
 5.51480E+02	 3.31802E+01
 5.55528E+02	 1.45952E+01
 5.59572E+02	-7.25391E+00
 5.63614E+02	-2.24888E+01
 5.67653E+02	-3.15122E+01
 5.71689E+02	-6.35938E+00
 5.75723E+02	 1.76455E+01
 5.79753E+02	 9.56982E+00
 5.83781E+02	-1.16504E+01
 5.87806E+02	-3.21523E+01
 5.91829E+02	-4.55918E+01
 5.95848E+02	-4.29053E+01
 5.99865E+02	-1.36831E+01
 6.03879E+02	 1.97285E+01
 6.07891E+02	 2.12715E+01
 6.11899E+02	 1.41221E+01
 6.15905E+02	 2.12358E+01
 6.19908E+02	 3.88335E+01
 6.23908E+02	 4.96343E+01
 6.27906E+02	 5.62544E+01
 6.31901E+02	 5.07783E+01
 6.35893E+02	 3.08882E+01
 6.39882E+02	 1.25400E+01
 6.43869E+02	 1.71157E+01
 6.47853E+02	 2.60684E+01
 6.51834E+02	 2.77822E+01
 6.55813E+02	 2.23564E+01
 6.59789E+02	 2.49893E+01
 6.63762E+02	 1.73423E+01
 6.67732E+02	 1.77754E+01
 6.71700E+02	 2.28672E+01
 6.75665E+02	 3.23677E+01
 6.79627E+02	 4.56587E+01
 6.83587E+02	 5.45435E+01
 6.87544E+02	 4.87900E+01
 6.91498E+02	 3.60991E+01
 6.95449E+02	 1.97139E+01
 6.99398E+02	 1.76377E+01
 7.03344E+02	 7.77979E+00
 7.07288E+02	 1.08477E+01
 7.11228E+02	 8.74658E+00
 7.15166E+02	 3.57178E+00
 7.19102E+02	 7.11816E+00
 7.23034E+02	 1.62402E+01
 7.26965E+02	 1.24429E+01
 7.30892E+02	 1.98193E+00
 7.34817E+02	-1.24790E+01
 7.38739E+02	-9.38965E+00
 7.42658E+02	-8.27979E+00
 7.46575E+02	-7.12402E-01
 7.50489E+02	-1.27686E+00
 7.54400E+02	-1.25195E+01
 7.58309E+02	-2.75107E+01
 7.62215E+02	-2.41631E+01
 7.66119E+02	-1.85376E+01
 7.70019E+02	 9.37305E+00
 7.73918E+02	 3.57734E+01
 7.77813E+02	 4.67026E+01
 7.81706E+02	 3.73613E+01
 7.85596E+02	 1.54399E+01
 7.89484E+02	-3.61621E+00
 7.93369E+02	-2.27944E+01
 7.97251E+02	-2.95903E+01
 8.01131E+02	-1.21074E+01
 8.05008E+02	-3.09814E+00
 8.08883E+02	 1.22793E+01
 8.12755E+02	 3.69375E+01
