X-Axis	NPA w/ HMB-1 20x E30 (CRR) (Average 3) (Sub BG)
-3.97831E+02	 2.01680E+02
-3.93106E+02	 1.50218E+02
-3.88385E+02	 1.06332E+02
-3.83668E+02	 5.60264E+01
-3.78954E+02	 8.30176E+00
-3.74244E+02	-1.00859E+01
-3.69537E+02	-4.13086E+00
-3.64833E+02	 2.37236E+01
-3.60133E+02	 1.90859E+01
-3.55437E+02	-8.45898E+00
-3.50744E+02	-2.97227E+01
-3.46054E+02	-1.79580E+01
-3.41368E+02	 5.98535E+00
-3.36685E+02	 2.24121E+00
-3.32006E+02	 3.14346E+01
-3.27330E+02	 8.07100E+01
-3.22658E+02	 4.30732E+01
-3.17989E+02	-4.76377E+01
-3.13323E+02	-5.60254E+01
-3.08661E+02	-2.28467E+01
-3.04002E+02	-3.08867E+01
-2.99347E+02	-2.51113E+01
-2.94695E+02	-3.75000E+00
-2.90047E+02	-1.69746E+01
-2.85402E+02	-1.89619E+01
-2.80760E+02	 2.88564E+01
-2.76122E+02	 5.25498E+01
-2.71487E+02	 4.15752E+01
-2.66855E+02	 4.91406E+00
-2.62227E+02	-4.98105E+01
-2.57603E+02	-3.46729E+01
-2.52981E+02	 2.97910E+01
-2.48363E+02	 3.29844E+01
-2.43749E+02	 5.71484E+00
-2.39138E+02	 1.96582E+01
-2.34530E+02	 6.83594E-01
-2.29925E+02	-3.35869E+01
-2.25324E+02	-2.80615E+01
-2.20726E+02	-2.27656E+01
-2.16132E+02	 5.03613E+00
-2.11541E+02	 2.37295E+01
-2.06953E+02	 7.48145E+00
-2.02369E+02	-2.00752E+01
-1.97788E+02	-3.00283E+01
-1.93210E+02	 1.31670E+01
-1.88636E+02	 4.15322E+01
-1.84065E+02	 1.37256E+01
-1.79497E+02	-5.13086E+00
-1.74932E+02	-2.44375E+01
-1.70371E+02	-4.29922E+01
-1.65814E+02	-2.34609E+01
-1.61259E+02	-1.75957E+01
-1.56708E+02	-3.03711E+01
-1.52160E+02	-6.25586E+00
-1.47615E+02	 3.78867E+01
-1.43074E+02	 4.85020E+01
-1.38536E+02	 5.76953E+01
-1.34001E+02	 5.93887E+01
-1.29470E+02	 2.43320E+01
-1.24942E+02	-2.15625E+01
-1.20417E+02	-2.43555E+01
-1.15896E+02	 4.25977E+00
-1.11377E+02	-1.55469E+01
-1.06862E+02	-4.71846E+01
-1.02350E+02	-4.98164E+01
-9.78419E+01	-5.29512E+01
-9.33366E+01	-3.21123E+01
-8.88346E+01	 1.68809E+01
-8.43359E+01	 1.89590E+01
-7.98404E+01	-8.57910E+00
-7.53481E+01	 8.05664E-01
-7.08591E+01	-2.33711E+01
-6.63733E+01	-3.59014E+01
-6.18908E+01	 3.30391E+01
-5.74114E+01	 2.83857E+01
-5.29353E+01	-1.98760E+01
-4.84625E+01	-2.84043E+01
-4.39928E+01	-5.70000E+01
-3.95264E+01	 5.16523E+01
-3.50632E+01	 7.34375E+01
-3.06031E+01	-2.32490E+01
-2.61463E+01	-5.88096E+01
-2.16927E+01	-5.41855E+01
-1.72423E+01	 1.66967E+02
-1.27951E+01	 5.44005E+02
-8.35111E+00	 1.25509E+03
-3.91029E+00	 2.04077E+03
 5.27351E-01	 2.62425E+03
 4.96181E+00	 2.70321E+03
 9.39308E+00	 2.16657E+03
 1.38212E+01	 1.41980E+03
 1.82461E+01	 7.46424E+02
 2.26679E+01	 1.33317E+02
 2.70865E+01	-2.36283E+02
 3.15019E+01	 8.35303E+01
 3.59141E+01	 0.00000E+00
 4.03233E+01	 1.95313E-03
 4.47292E+01	 1.95313E-03
 4.91320E+01	 0.00000E+00
 5.35317E+01	 3.90625E-03
 5.79282E+01	 8.42891E+03
 6.23216E+01	 1.03164E+04
 6.67118E+01	 1.00985E+04
 7.10989E+01	 9.93395E+03
 7.54829E+01	 9.79743E+03
 7.98637E+01	 9.67914E+03
 8.42415E+01	 9.57400E+03
 8.86161E+01	 9.47898E+03
 9.29876E+01	 9.39211E+03
 9.73559E+01	 9.31200E+03
 1.01721E+02	 9.23765E+03
 1.06083E+02	 9.16830E+03
 1.10442E+02	 9.10335E+03
 1.14798E+02	 9.04232E+03
 1.19151E+02	 8.98484E+03
 1.23501E+02	 8.93058E+03
 1.27848E+02	 8.87928E+03
 1.32191E+02	 8.83071E+03
 1.36532E+02	 8.78468E+03
 1.40869E+02	 8.74103E+03
 1.45203E+02	 8.69961E+03
 1.49535E+02	 8.66029E+03
 1.53863E+02	 8.62296E+03
 1.58188E+02	 8.58752E+03
 1.62510E+02	 8.55389E+03
 1.66829E+02	 8.52198E+03
 1.71145E+02	 8.49174E+03
 1.75458E+02	 8.46309E+03
 1.79768E+02	 8.43597E+03
 1.84074E+02	 8.41034E+03
 1.88378E+02	 8.38616E+03
 1.92679E+02	 8.36336E+03
 1.96976E+02	 8.34193E+03
 2.01271E+02	 8.32183E+03
 2.05562E+02	 8.30302E+03
 2.09851E+02	 8.28548E+03
 2.14136E+02	 8.26917E+03
 2.18419E+02	 8.25408E+03
 2.22698E+02	 8.24019E+03
 2.26975E+02	 8.22747E+03
 2.31248E+02	 8.21591E+03
 2.35519E+02	 8.20550E+03
 2.39786E+02	 8.19622E+03
 2.44050E+02	 8.18805E+03
