X-Axis	NPA w/ oil 20x (CRR) (SG) (Sub BG)
-3.97831E+02	 1.96191E+00
-3.93106E+02	 1.57642E+00
-3.88385E+02	 2.61084E+00
-3.83668E+02	 1.60815E+00
-3.78954E+02	-3.48389E-01
-3.74244E+02	-1.34644E+00
-3.69537E+02	 2.45605E-01
-3.64833E+02	 2.05518E+00
-3.60133E+02	 6.29395E-01
-3.55437E+02	 3.88916E-01
-3.50744E+02	-3.04688E-01
-3.46054E+02	-1.69897E+00
-3.41368E+02	-1.81738E+00
-3.36685E+02	-8.18115E-01
-3.32006E+02	 2.68799E-01
-3.27330E+02	-1.14502E+00
-3.22658E+02	-9.93164E-01
-3.17989E+02	 3.49609E-01
-3.13323E+02	-1.10938E+00
-3.08661E+02	-2.31445E-01
-3.04002E+02	 1.08911E+00
-2.99347E+02	 2.03589E+00
-2.94695E+02	-4.73633E-02
-2.90047E+02	-1.68164E+00
-2.85402E+02	-4.02832E-01
-2.80760E+02	 8.54492E-02
-2.76122E+02	 1.89453E-01
-2.71487E+02	 1.11597E+00
-2.66855E+02	-1.59204E+00
-2.62227E+02	-2.68457E+00
-2.57603E+02	-1.29053E+00
-2.52981E+02	 9.55566E-01
-2.48363E+02	 6.09619E-01
-2.43749E+02	 3.64502E-01
-2.39138E+02	 7.32910E-01
-2.34530E+02	 8.25928E-01
-2.29925E+02	 1.33643E+00
-2.25324E+02	 2.51221E+00
-2.20726E+02	 1.12964E+00
-2.16132E+02	-1.78735E+00
-2.11541E+02	-2.03979E+00
-2.06953E+02	-1.51978E+00
-2.02369E+02	-4.15771E-01
-1.97788E+02	 7.73926E-01
-1.93210E+02	 1.71167E+00
-1.88636E+02	 2.29102E+00
-1.84065E+02	 1.50024E+00
-1.79497E+02	 1.30762E+00
-1.74932E+02	-6.54785E-01
-1.70371E+02	-2.63379E+00
-1.65814E+02	-2.86230E+00
-1.61259E+02	-2.48145E+00
-1.56708E+02	-8.64746E-01
-1.52160E+02	 8.39844E-01
-1.47615E+02	 8.93066E-01
-1.43074E+02	 1.31934E+00
-1.38536E+02	 5.37842E-01
-1.34001E+02	 1.38232E+00
-1.29470E+02	 8.48389E-01
-1.24942E+02	 4.72656E-01
-1.20417E+02	-3.58398E-01
-1.15896E+02	-1.56079E+00
-1.11377E+02	-2.80054E+00
-1.06862E+02	-2.54590E+00
-1.02350E+02	-3.18335E+00
-9.78419E+01	-1.66357E+00
-9.33366E+01	 4.22119E-01
-8.88346E+01	 9.43604E-01
-8.43359E+01	 5.07813E-01
-7.98404E+01	 1.83105E-02
-7.53481E+01	-1.35962E+00
-7.08591E+01	-9.55078E-01
-6.63733E+01	-1.17749E+00
-6.18908E+01	-2.88086E-01
-5.74114E+01	-1.87354E+00
-5.29353E+01	-4.70581E+00
-4.84625E+01	-6.04663E+00
-4.39928E+01	-7.12012E+00
-3.95264E+01	-2.95410E-01
-3.50632E+01	 2.87598E+00
-3.06031E+01	-5.47705E+00
-2.61463E+01	-5.20557E+00
-2.16927E+01	-1.77246E-01
-1.72423E+01	 1.36011E+01
-1.27951E+01	 2.97871E+01
-8.35111E+00	 5.89141E+01
-3.91029E+00	 8.82280E+01
 5.27351E-01	 1.01115E+02
 4.96181E+00	 1.01948E+02
 9.39308E+00	 8.28198E+01
 1.38212E+01	 3.97759E+01
 1.82461E+01	-1.10225E+01
 2.26679E+01	-6.27817E+01
 2.70865E+01	-8.67363E+01
 3.15019E+01	-1.64485E+02
 3.59141E+01	-9.46040E+01
 4.03233E+01	 6.68984E+01
 4.47292E+01	-4.55532E+01
 4.91320E+01	-1.89417E+02
 5.35317E+01	 7.51537E+02
 5.79282E+01	 3.34500E+03
 6.23216E+01	 6.16199E+03
 6.67118E+01	 8.77452E+03
 7.10989E+01	 1.10183E+04
 7.54829E+01	 1.26457E+04
 7.98637E+01	 1.37434E+04
 8.42415E+01	 1.43409E+04
 8.86161E+01	 1.44928E+04
 9.29876E+01	 1.41224E+04
 9.73559E+01	 1.34190E+04
 1.01721E+02	 1.26162E+04
 1.06083E+02	 1.17993E+04
 1.10442E+02	 1.10141E+04
 1.14798E+02	 1.02948E+04
 1.19151E+02	 9.71649E+03
 1.23501E+02	 9.25732E+03
 1.27848E+02	 8.62115E+03
 1.32191E+02	 8.05307E+03
 1.36532E+02	 7.53606E+03
 1.40869E+02	 7.02336E+03
 1.45203E+02	 6.52159E+03
 1.49535E+02	 5.99615E+03
 1.53863E+02	 5.45788E+03
 1.58188E+02	 4.79771E+03
 1.62510E+02	 4.26656E+03
 1.66829E+02	 4.01071E+03
 1.71145E+02	 3.84613E+03
 1.75458E+02	 3.68079E+03
 1.79768E+02	 3.43907E+03
 1.84074E+02	 3.18352E+03
