X-Axis	NPA w/ HMB-1 pos2 E30 (CRR) (SG) (Sub BG)
-3.97831E+02	 7.15059E+01
-3.93106E+02	 6.75176E+01
-3.88385E+02	 4.06182E+01
-3.83668E+02	 1.96660E+01
-3.78954E+02	-4.19336E+00
-3.74244E+02	 1.80518E+01
-3.69537E+02	 1.92598E+01
-3.64833E+02	-3.87891E+00
-3.60133E+02	-6.53516E+00
-3.55437E+02	-2.85186E+01
-3.50744E+02	-3.80967E+01
-3.46054E+02	-3.37051E+01
-3.41368E+02	-1.62598E+01
-3.36685E+02	 1.55703E+01
-3.32006E+02	 1.54160E+01
-3.27330E+02	 2.92871E+01
-3.22658E+02	 3.06797E+01
-3.17989E+02	 3.02598E+01
-3.13323E+02	 9.72461E+00
-3.08661E+02	-2.79727E+01
-3.04002E+02	-1.73711E+01
-2.99347E+02	-5.00293E+00
-2.94695E+02	-1.69795E+01
-2.90047E+02	 3.75000E-01
-2.85402E+02	 3.50879E+00
-2.80760E+02	 8.82715E+00
-2.76122E+02	-5.42383E+00
-2.71487E+02	 1.91855E+01
-2.66855E+02	-2.25391E+00
-2.62227E+02	-4.38125E+01
-2.57603E+02	-2.95449E+01
-2.52981E+02	-1.33975E+01
-2.48363E+02	 3.82520E+00
-2.43749E+02	 5.14189E+01
-2.39138E+02	 5.37568E+01
-2.34530E+02	 3.86230E+01
-2.29925E+02	 9.32324E+00
-2.25324E+02	-2.00723E+01
-2.20726E+02	-3.74219E+01
-2.16132E+02	-3.23936E+01
-2.11541E+02	-3.22979E+01
-2.06953E+02	-3.85566E+01
-2.02369E+02	-3.67490E+01
-1.97788E+02	 1.17676E+00
-1.93210E+02	 5.53818E+01
-1.88636E+02	 9.42432E+01
-1.84065E+02	 1.08312E+02
-1.79497E+02	 4.16006E+01
-1.74932E+02	-4.82949E+01
-1.70371E+02	-7.13896E+01
-1.65814E+02	-7.03438E+01
-1.61259E+02	-2.55781E+01
-1.56708E+02	-1.37500E+00
-1.52160E+02	 9.86328E-01
-1.47615E+02	 8.47363E+00
-1.43074E+02	 1.35791E+01
-1.38536E+02	 1.40186E+01
-1.34001E+02	 1.93926E+01
-1.29470E+02	 2.75469E+01
-1.24942E+02	-6.88574E+00
-1.20417E+02	-2.43965E+01
-1.15896E+02	 1.19863E+01
-1.11377E+02	 1.26846E+01
-1.06862E+02	-1.95820E+01
-1.02350E+02	-2.40674E+01
-9.78419E+01	-9.83691E+00
-9.33366E+01	 1.09365E+01
-8.88346E+01	-1.08398E+01
-8.43359E+01	 2.80645E+01
-7.98404E+01	 1.88281E+01
-7.53481E+01	-5.29434E+01
-7.08591E+01	-4.20254E+01
-6.63733E+01	-1.21992E+01
-6.18908E+01	 4.95020E+00
-5.74114E+01	-5.26465E+01
-5.29353E+01	-9.10996E+01
-4.84625E+01	-3.17246E+01
-4.39928E+01	 3.17764E+01
-3.95264E+01	 1.61436E+01
-3.50632E+01	 7.80996E+01
-3.06031E+01	 6.44238E+00
-2.61463E+01	-2.04980E+00
-2.16927E+01	-4.99355E+01
-1.72423E+01	 3.70545E+02
-1.27951E+01	 1.14767E+03
-8.35111E+00	 2.10661E+03
-3.91029E+00	 3.21803E+03
 5.27351E-01	 4.00168E+03
 4.96181E+00	 3.99064E+03
 9.39308E+00	 3.39375E+03
 1.38212E+01	 2.28711E+03
 1.82461E+01	 1.07382E+03
 2.26679E+01	 2.38682E+01
 2.70865E+01	-2.45014E+02
 3.15019E+01	-9.58887E+01
 3.59141E+01	 2.11201E+02
 4.03233E+01	 5.25391E+00
 4.47292E+01	 1.95313E-03
 4.91320E+01	 7.81250E-03
 5.35317E+01	 1.54938E+03
 5.79282E+01	 1.02903E+04
 6.23216E+01	 1.43628E+04
 6.67118E+01	 1.39584E+04
 7.10989E+01	 1.21978E+04
 7.54829E+01	 1.19370E+04
 7.98637E+01	 1.21979E+04
